address,city,area,state_county,zip_code,country,price,property_id,property_size,rooms,bedrooms,bathrooms,features,extraction_date
 35595,Halifax,Mainland South,Nova Scotia,B3P 1L7,Canada,2195,35595,,3,3,1,"Fridge & Stove Included, Heat & Hot Water Included, Dishwasher, On Bus Route, Pharmacy, Banks, Over The Range Microwave",2024-03-15
 41167,Bridgewater,Bridgewater,Nova Scotia,B4V 2V6,Canada,1795,41167,750 ft,3,3,1,"balcony, Fridge & Stove Included, Heat & Hot Water Included, Close to all Hospitals, Quiet neighbourhood, Close to Universities and Colleges",2024-03-15
 37791,Halifax,Downtown Halifax,Nova Scotia,B3J 2L1,Canada,2795,37791,,2,2,1,"balcony, laundry, Fridge & Stove Included, Heat & Hot Water Included, Dishwasher, Close to all Hospitals, Located in the heart of downtown Halifax, On Bus Route, Pharmacy, Restaurants, Banks, Coffee Shops, Over The Range Microwave, Close to Universities and Colleges",2024-03-15
 40468,Halifax,Fairview,Nova Scotia,B3M 3H5,Canada,1795,40468,,1,1,1,"balcony, Fridge & Stove Included, Heat & Hot Water Included, Dishwasher, Quiet neighbourhood, On Bus Route, Over The Range Microwave",2024-03-15
 32964,Halifax,Mainland Southwest,Nova Scotia,B3L 1C7,Canada,1795,32964,900 ft,,1,1,"balcony, Fridge & Stove Included, Heat & Hot Water Included, Dishwasher, On Bus Route, Restaurants, Over The Range Microwave, Close to Universities and Colleges",2024-03-15
 27461,Dartmouth,Dartmouth,Nova Scotia,B3A 4M6,Canada,1950,27461,750 ft,2,2,1,"balcony, Fridge & Stove Included, Heat & Hot Water Included, Dishwasher, Over The Range Microwave",2024-03-15
 37941,Halifax,Downtown Halifax,Nova Scotia,B3J 2L1,Canada,1995,37941,850 ft,1,1,1,"balcony, laundry, Fridge & Stove Included, Heat & Hot Water Included, Dishwasher, Close to all Hospitals, Located in the heart of downtown Halifax, On Bus Route, Pharmacy, Restaurants, Banks, Coffee Shops, Over The Range Microwave, Close to Universities and Colleges",2024-03-15
 37646,Halifax,Peninsular North,Nova Scotia,B3K 1K1,Canada,2295,37646,,2,2,1,"balcony, Fridge & Stove Included, Heat & Hot Water Included, Dishwasher, Close to all Hospitals, On Bus Route, Restaurants, Over The Range Microwave, Close to Universities and Colleges",2024-03-15
 36535,Halifax,Mainland North,Nova Scotia,B3K 3V5,Canada,1795,36535,700 ft,,1,1,"balcony, Fridge & Stove Included, Heat & Hot Water Included, Quiet neighbourhood",2024-03-15
 42450,Halifax,Downtown Halifax,Nova Scotia,,Canada,1995,42450,,1,1,1,"balcony, Fridge & Stove Included, Dishwasher, Close to all Hospitals, Located in the heart of downtown Halifax, On Bus Route, Pharmacy, Restaurants, Banks, Coffee Shops, Post Office, Over The Range Microwave, Close to Universities and Colleges",2024-03-15
 42567,Halifax,Downtown Halifax,Nova Scotia,,Canada,2595,42567,,2,2,1,"balcony, laundry, Fridge & Stove Included, Dishwasher, Close to all Hospitals, Located in the heart of downtown Halifax, On Bus Route, Bus Terminal, Pharmacy, Restaurants, Banks, Coffee Shops, Post Office, Over The Range Microwave, Close to Universities and Colleges",2024-03-15
 42579,Halifax,Downtown Halifax,Nova Scotia,,Canada,2595,42579,,2,2,1,"balcony, laundry, Fridge & Stove Included, Dishwasher, Close to all Hospitals, Located in the heart of downtown Halifax, On Bus Route, Bus Terminal, Pharmacy, Restaurants, Banks, Coffee Shops, Post Office, Over The Range Microwave, Close to Universities and Colleges",2024-03-15
 40810,Halifax,Mainland South,Nova Scotia,B3R 1R1,Canada,1695,40810,750 ft,1,1,1,"Fridge & Stove Included, Heat & Hot Water Included, Dishwasher, Over The Range Microwave",2024-03-15
